trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
120,False,"{'a': 0.7, 'e': 0.865077590600837}",25,0,-90.1602628788132,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",0
121,False,"{'a': 0.7, 'e': 0.8628539830324229}",20,9,-63.87182376403223,"{0: 6, 1: 1, 2: 3, 3: 0, 4: 1}",1
122,False,"{'a': 0.7, 'e': 0.8606135497407195}",25,0,-157.99599446000425,"{0: 13, 1: 2, 2: 6, 3: 3, 4: 1}",0
123,False,"{'a': 0.7, 'e': 0.8583563344143594}",25,4,-73.97829630087865,"{0: 11, 1: 4, 2: 5, 3: 1, 4: 0}",1
124,False,"{'a': 0.7, 'e': 0.8560823810692264}",25,0,-88.65842607445124,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
125,False,"{'a': 0.7, 'e': 0.8537917340475967}",20,7,-89.33585546747238,"{0: 6, 1: 2, 2: 3, 3: 1, 4: 1}",1
126,False,"{'a': 0.7, 'e': 0.8514844380172747}",30,0,-147.02158601847884,"{0: 21, 1: 4, 2: 1, 3: 1, 4: 3}",0
127,False,"{'a': 0.7, 'e': 0.8491605379707218}",20,12,-38.551701388164524,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
128,False,"{'a': 0.7, 'e': 0.8468200792241791}",20,0,-87.2128391658224,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
129,False,"{'a': 0.7, 'e': 0.844463107416784}",20,0,-89.7690798034351,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
130,False,"{'a': 0.7, 'e': 0.8420896685096791}",20,1,-46.635960928995914,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 1}",1
131,False,"{'a': 0.7, 'e': 0.8396998087851179}",25,0,-78.68825097500661,"{0: 14, 1: 2, 2: 9, 3: 0, 4: 0}",0
132,False,"{'a': 0.7, 'e': 0.8372935748455604}",20,0,-26.157263070983813,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
133,False,"{'a': 0.7, 'e': 0.8348710136127653}",25,7,-121.89866351199527,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 3}",1
134,False,"{'a': 0.7, 'e': 0.8324321723268748}",30,0,-220.8323402272867,"{0: 16, 1: 4, 2: 6, 3: 0, 4: 4}",0
135,False,"{'a': 0.7, 'e': 0.829977098545494}",20,0,-151.33008387499453,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
136,False,"{'a': 0.7, 'e': 0.8275058401427621}",20,0,-39.02585913087972,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
137,False,"{'a': 0.7, 'e': 0.8250184453084205}",20,0,-148.41341639688682,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 3}",0
138,False,"{'a': 0.7, 'e': 0.822514962546872}",20,0,-61.103031926124686,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
139,False,"{'a': 0.7, 'e': 0.8199954406762352}",20,0,-17.909672756351885,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
140,False,"{'a': 0.7, 'e': 0.817459928827393}",20,0,-27.245053155203326,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
141,False,"{'a': 0.7, 'e': 0.8149084764430339}",25,10,-28.428766904282263,"{0: 10, 1: 1, 2: 4, 3: 0, 4: 0}",1
142,False,"{'a': 0.7, 'e': 0.8123411332766882}",20,0,-96.29836169359884,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
143,False,"{'a': 0.7, 'e': 0.8097579493917577}",20,0,-151.36251492683832,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
144,False,"{'a': 0.7, 'e': 0.8071589751605397}",25,0,-40.057100288693306,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
145,False,"{'a': 0.7, 'e': 0.8045442612632443}",20,0,-107.10390642724224,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
146,False,"{'a': 0.7, 'e': 0.8019138586870066}",25,0,-162.3922717924304,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 3}",0
147,False,"{'a': 0.7, 'e': 0.799267818724892}",25,0,-33.294292430541915,"{0: 17, 1: 5, 2: 3, 3: 0, 4: 0}",0
148,False,"{'a': 0.7, 'e': 0.7966061929748965}",25,0,-56.39378561170346,"{0: 16, 1: 3, 2: 6, 3: 0, 4: 0}",0
149,False,"{'a': 0.7, 'e': 0.7939290333389399}",25,0,-72.41928132153758,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
150,False,"{'a': 0.7, 'e': 0.7912363920218544}",25,0,-179.71507472534108,"{0: 13, 1: 2, 2: 7, 3: 0, 4: 3}",0
151,False,"{'a': 0.7, 'e': 0.7885283215303658}",25,0,-108.0595846433927,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 3}",0
152,False,"{'a': 0.7, 'e': 0.7858048746720706}",30,0,-129.16249375932577,"{0: 18, 1: 7, 2: 3, 3: 0, 4: 2}",0
153,False,"{'a': 0.7, 'e': 0.7830661045544053}",30,0,-58.0224504569859,"{0: 23, 1: 2, 2: 4, 3: 0, 4: 1}",0
154,False,"{'a': 0.7, 'e': 0.7803120645836112}",25,0,-40.606745405604485,"{0: 19, 1: 0, 2: 6, 3: 0, 4: 0}",0
155,False,"{'a': 0.7, 'e': 0.7775428084636935}",20,0,-48.490541071394446,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
156,False,"{'a': 0.7, 'e': 0.7747583901953727}",30,0,-45.58431147417867,"{0: 22, 1: 2, 2: 6, 3: 0, 4: 0}",0
157,False,"{'a': 0.7, 'e': 0.7719588640750334}",20,1,-30.8781307933785,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 1}",1
158,False,"{'a': 0.7, 'e': 0.7691442846936639}",20,10,-50.3957030002804,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 1}",1
159,False,"{'a': 0.7, 'e': 0.7663147069357924}",25,0,-42.269591974470025,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",0
160,False,"{'a': 0.7, 'e': 0.7634701859784169}",35,17,-92.60160388252258,"{0: 9, 1: 2, 2: 6, 3: 0, 4: 1}",1
161,False,"{'a': 0.7, 'e': 0.7606107772899287}",25,10,-15.654996794052952,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 0}",1
162,False,"{'a': 0.7, 'e': 0.7577365366290313}",20,0,-50.04418197932442,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
